,bib,id,name,q_rank,q_speed,q_split1,q_split2,q_split3,q_split4,q_split5,q_start,q_start_rev,q_status,uci,q_points,r_points,rank,speed,split1,split2,split3,split4,split5,start,start_rev,status,points,q_split1_rank,q_split1_vs_best,q_split1_vs_winner,q_split2_rank,q_split2_vs_best,q_split2_vs_winner,q_split2_sector,q_split2_sector_rank,q_split2_sector_vs_best,q_split2_sector_vs_winner,q_split3_rank,q_split3_vs_best,q_split3_vs_winner,q_split3_sector,q_split3_sector_rank,q_split3_sector_vs_best,q_split3_sector_vs_winner,q_split4_rank,q_split4_vs_best,q_split4_vs_winner,q_split4_sector,q_split4_sector_rank,q_split4_sector_vs_best,q_split4_sector_vs_winner,q_split5_rank,q_split5_vs_best,q_split5_vs_winner,q_split5_sector,q_split5_sector_rank,q_split5_sector_vs_best,q_split5_sector_vs_winner,split1_rank,split1_vs_best,split1_vs_winner,split2_rank,split2_vs_best,split2_vs_winner,split2_sector,split2_sector_rank,split2_sector_vs_best,split2_sector_vs_winner,split3_rank,split3_vs_best,split3_vs_winner,split3_sector,split3_sector_rank,split3_sector_vs_best,split3_sector_vs_winner,split4_rank,split4_vs_best,split4_vs_winner,split4_sector,split4_sector_rank,split4_sector_vs_best,split4_sector_vs_winner,split5_rank,split5_vs_best,split5_vs_winner,split5_sector,split5_sector_rank,split5_sector_vs_best,split5_sector_vs_winner,speed_ms,speed_ms_vs_best,speed_rank,q_speed_rank,BirthDate,CategoryCode,FamilyName,GivenName,Id,Nation,Outfit,PrintName,RaceId,RaceNr,ScoreboardName,StartOrder,StartTime,UciCode,UciRank,UciRiderId,UciTeamCode,UciTeamId,UciTeamName,WorldCupRank,Age
12,19,2019,A'HERN Sian,9,48.85,71.824,228.635,258.177,301.225,332.101,17,7,Finished,10010802043,10.0,25.0,13.0,47.26,72.004,227.763,261.969,304.97,338.471,6.0,11.0,Finished,35.0,16.0,7.0930000000000035,6.039999999999992,11.0,21.155999999999977,13.082999999999998,156.81099999999998,10.0,14.06299999999996,7.043000000000006,10.0,21.55800000000002,13.216000000000008,29.54200000000003,7.0,0.4380000000000166,0.13300000000000978,9.0,23.581000000000017,14.298000000000002,43.048,10.0,2.9259999999999877,1.0819999999999936,9.0,24.27600000000001,15.192999999999984,30.875999999999976,6.0,0.9540000000000077,0.8949999999999818,16.0,7.190000000000012,7.190000000000012,11.0,16.42500000000001,16.42500000000001,155.75900000000001,11.0,9.235000000000014,9.235000000000014,13.0,21.835000000000008,21.835000000000008,34.20599999999999,15.0,5.409999999999997,5.409999999999997,13.0,23.67900000000003,23.67900000000003,43.00100000000003,10.0,1.8780000000000427,1.8440000000000225,13.0,27.511000000000024,27.511000000000024,33.500999999999976,16.0,3.8319999999999936,3.8319999999999936,13.127777777777778,1.6166666666666671,15.0,11.0,1998-08-02T00:00:00,WE,A'HERN,Sian,1196990205528254,AUS,,A'HERN Sian,0,19,A'HERN S,17,49080000,AUS19980802,35,10010802043,,0,,0,19
13,11,2011,MILLER Miranda,14,51.32,69.454,233.264,264.189,308.358,339.195,11,13,Finished,10005872726,,15.0,14.0,51.04,70.044,233.287,265.325,308.498,338.761,2.0,15.0,Finished,15.0,7.0,4.722999999999999,3.6699999999999875,15.0,25.784999999999997,17.712000000000018,163.81,16.0,21.061999999999983,14.04200000000003,14.0,27.57000000000002,19.22800000000001,30.92500000000001,10.0,1.820999999999998,1.5159999999999911,14.0,30.714,21.430999999999983,44.16899999999998,15.0,4.046999999999969,2.2029999999999745,14.0,31.370000000000005,22.286999999999978,30.83699999999999,5.0,0.9150000000000205,0.8559999999999945,11.0,5.230000000000004,5.230000000000004,14.0,21.949000000000012,21.949000000000012,163.243,14.0,16.718999999999994,16.718999999999994,14.0,25.191000000000003,25.191000000000003,32.03799999999998,12.0,3.2419999999999902,3.2419999999999902,14.0,27.206999999999994,27.206999999999994,43.173,12.0,2.0500000000000114,2.015999999999991,14.0,27.801000000000045,27.801000000000045,30.263000000000034,8.0,0.5940000000000509,0.5940000000000509,14.177777777777779,0.5666666666666664,7.0,1.0,1990-03-02T00:00:00,WE,MILLER,Miranda,1196990205528248,CAN,WCh,MILLER Miranda,0,11,MILLER M,11,48900000,CAN19900302,9,10005872726,SGR,1667,SPECIALIZED GRAVITY,11,28
14,18,2018,RONNING Frida Helena,13,48.31,69.913,232.54,263.512,307.579,338.826,16,8,Finished,10008084326,,5.0,15.0,51.86,69.709,236.186,279.291,323.358,353.508,3.0,14.0,Finished,5.0,10.0,5.182000000000002,4.128999999999991,14.0,25.06099999999998,16.988,162.627,15.0,19.87899999999999,12.859000000000037,13.0,26.893,18.550999999999988,30.97200000000001,12.0,1.867999999999995,1.5629999999999882,13.0,29.935000000000002,20.651999999999987,44.06700000000001,14.0,3.944999999999993,2.100999999999999,13.0,31.001000000000033,21.918000000000006,31.247000000000014,7.0,1.3250000000000455,1.2660000000000196,9.0,4.89500000000001,4.89500000000001,15.0,24.848000000000013,24.848000000000013,166.477,15.0,19.953000000000003,19.953000000000003,15.0,39.15700000000001,39.15700000000001,43.10499999999999,16.0,14.308999999999997,14.308999999999997,15.0,42.06700000000001,42.06700000000001,44.06700000000001,16.0,2.944000000000017,2.9099999999999966,15.0,42.548,42.548,30.149999999999977,6.0,0.48099999999999454,0.48099999999999454,14.405555555555557,0.3388888888888886,4.0,13.0,1995-07-09T00:00:00,WE,RONNING,Frida Helena,1196990205528253,NOR,NCh,RONNING Frida Helena,0,18,RONNING F,16,49050000,NOR19950709,19,10008084326,,0,,0,22
15,21,2021,MOLLOY Tegan,15,50.03,71.748,238.836,269.964,312.758,344.251,19,5,Finished,10008826980,,,16.0,52.84,70.599,250.404,282.587,324.682,354.699,1.0,16.0,Finished,0.0,15.0,7.01700000000001,5.963999999999999,18.0,31.357,23.28400000000002,167.08800000000002,18.0,24.340000000000003,17.32000000000005,17.0,33.345,25.002999999999986,31.127999999999986,14.0,2.0239999999999725,1.7189999999999657,15.0,35.113999999999976,25.83099999999996,42.79399999999998,7.0,2.6719999999999686,0.8279999999999745,15.0,36.42599999999999,27.34299999999996,31.492999999999995,9.0,1.5710000000000264,1.5120000000000005,13.0,5.785000000000011,5.785000000000011,16.0,39.066,39.066,179.805,16.0,33.281000000000006,33.281000000000006,16.0,42.453,42.453,32.18299999999999,14.0,3.3870000000000005,3.3870000000000005,16.0,43.39100000000002,43.39100000000002,42.09500000000003,5.0,0.9720000000000368,0.9380000000000166,16.0,43.73900000000003,43.73900000000003,30.016999999999996,4.0,0.3480000000000132,0.3480000000000132,14.677777777777779,0.06666666666666643,2.0,6.0,1996-01-18T00:00:00,WE,MOLLOY,Tegan,1196990205528256,AUS,,MOLLOY Tegan,0,21,MOLLOY T,19,49140000,AUS19960118,40,10008826980,KON,1012,KONA FACTORY TEAM,0,22
16,13,2013,RUBESAM Sandra,16,,70.914,235.06,268.477,313.138,348.049,13,11,Finished,10052523258,,,,,,,,,,,,,0.0,12.0,6.183000000000007,5.1299999999999955,17.0,27.58099999999999,19.50800000000001,164.14600000000002,17.0,21.397999999999996,14.378000000000043,16.0,31.857999999999976,23.515999999999963,33.41699999999997,17.0,4.31299999999996,4.007999999999953,16.0,35.49399999999997,26.210999999999956,44.661,17.0,4.538999999999987,2.694999999999993,16.0,40.22399999999999,31.140999999999963,34.911,17.0,4.989000000000033,4.930000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988-02-10T00:00:00,WE,RUBESAM,Sandra,1196990205528250,GER,,RUBESAM Sandra,0,13,RUBESAM S,13,48960000,GER19880210,17,10052523258,,0,,13,30
17,17,2017,CHAPPAZ Melanie,17,,73.958,241.569,272.814,319.069,353.742,15,9,Finished,10011008066,,,,,,,,,,,,,0.0,19.0,9.227000000000004,8.173999999999992,19.0,34.089999999999975,26.016999999999996,167.611,19.0,24.86299999999997,17.843000000000018,18.0,36.19500000000002,27.85300000000001,31.245000000000033,15.0,2.1410000000000196,1.8360000000000127,17.0,41.42500000000001,32.141999999999996,46.254999999999995,18.0,6.132999999999981,4.288999999999987,17.0,45.91700000000003,36.834,34.673,16.0,4.751000000000033,4.692000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-03-12T00:00:00,WE,CHAPPAZ,Melanie,1196990205528252,FRA,,CHAPPAZ Melanie,0,17,CHAPPAZ M,15,49020000,FRA19990312,12,10011008066,HTH,3167,HOPE TECHNOLOGY,0,19
18,20,2020,WOHLGENSINGER Alexandra,18,,72.711,234.807,279.658,323.959,356.41,18,6,Finished,10010735153,,,,,,,,,,,,,0.0,18.0,7.980000000000004,6.9269999999999925,16.0,27.327999999999975,19.254999999999995,162.096,14.0,19.347999999999985,12.328000000000031,19.0,43.039000000000016,34.697,44.85100000000003,22.0,15.747000000000014,15.442000000000007,18.0,46.315,37.03199999999998,44.30099999999999,16.0,4.178999999999974,2.3349999999999795,18.0,48.585000000000036,39.50200000000001,32.45100000000002,14.0,2.529000000000053,2.4700000000000273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-04-10T00:00:00,WE,WOHLGENSINGER,Alexandra,1196990205528255,SUI,,WOHLGENSINGER Alexandra,0,20,WOHLGENSINGE,18,49110000,SUI19840410,37,10010735153,,0,,0,34
19,26,2026,BELL Cairn,20,,75.749,253.087,293.457,341.455,381.991,23,1,Finished,10011212069,,,,,,,,,,,,,0.0,20.0,11.018,9.96499999999999,20.0,45.607999999999976,37.535,177.338,21.0,34.589999999999975,27.57000000000002,20.0,56.837999999999994,48.49599999999998,40.370000000000005,21.0,11.265999999999991,10.960999999999984,20.0,63.81099999999998,54.52799999999996,47.99799999999999,19.0,7.875999999999976,6.031999999999982,20.0,74.166,65.08299999999997,40.536,19.0,10.614000000000033,10.555000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-03-14T00:00:00,WE,BELL,Cairn,1196990205528260,GBR,N,BELL Cairn,0,26,BELL C,23,49260000,GBR19980314,292,10011212069,,0,,0,20
20,22,2022,LESOIN Flora,21,,76.505,259.523,298.416,346.652,386.246,20,4,Finished,10009734134,,,,,,,,,,,,,0.0,21.0,11.774000000000001,10.72099999999999,21.0,52.04400000000001,43.97100000000003,183.01800000000003,22.0,40.27000000000001,33.25000000000006,21.0,61.797,53.454999999999984,38.89299999999997,19.0,9.788999999999959,9.483999999999952,21.0,69.00799999999998,59.724999999999966,48.23599999999999,20.0,8.113999999999976,6.269999999999982,21.0,78.42099999999999,69.33799999999997,39.593999999999994,18.0,9.672000000000025,9.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-11-17T00:00:00,WE,LESOIN,Flora,1196990205528257,FRA,,LESOIN Flora,0,22,LESOIN F,20,49170000,FRA19991117,44,10009734134,,0,,0,18
21,24,2024,GREEN Sumayyah,22,,82.104,294.68,343.351,404.997,453.326,22,2,Finished,10016172712,,,,,,,,,,,,,0.0,22.0,17.373000000000005,16.319999999999993,22.0,87.201,79.12800000000001,212.57600000000002,23.0,69.828,62.80800000000005,22.0,106.732,98.38999999999999,48.67099999999999,23.0,19.56699999999998,19.261999999999972,22.0,127.35300000000001,118.07,61.646000000000015,23.0,21.524,19.680000000000007,22.0,145.50100000000003,136.418,48.32900000000001,22.0,18.40700000000004,18.348000000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-05-13T00:00:00,WE,GREEN,Sumayyah,1196990205528259,GBR,,GREEN Sumayyah,0,24,GREEN S,22,49230000,GBR19990513,182,10016172712,,0,,0,19
22,23,2023,TUTT Aston,23,,208.18,381.1,415.451,466.913,512.445,21,3,Finished,10010911975,,,,,,,,,,,,,0.0,23.0,143.449,142.39600000000002,23.0,173.621,165.54800000000003,172.92000000000002,20.0,30.171999999999997,23.152000000000044,23.0,178.83200000000002,170.49,34.351,18.0,5.246999999999986,4.941999999999979,23.0,189.269,179.986,51.46199999999999,21.0,11.339999999999975,9.495999999999981,23.0,204.62000000000006,195.53700000000003,45.53200000000004,20.0,15.61000000000007,15.551000000000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-10-06T00:00:00,WE,TUTT,Aston,1196990205528258,GBR,,TUTT Aston,0,23,TUTT A,21,49200000,GBR19981006,145,10010911975,,0,,0,19
